Fecha,PMCO,Est
2015-05-21,16.25,AJM
2015-05-22,6.291666666666667,AJM
2015-05-23,7.5,AJM
2015-05-24,7.75,AJM
2015-05-25,7.666666666666667,AJM
2015-05-26,8.863728576439778,AJM
2015-05-27,11.158632986756208,AJM
2015-05-28,7.09644538981691,AJM
2015-05-29,6.666666666666667,AJM
2015-05-30,7.25,AJM
2015-05-31,4.458333333333333,AJM
2015-06-01,8.416666666666666,AJM
2015-06-02,11.333333333333334,AJM
2015-06-03,10.75,AJM
2015-06-04,12.166666666666666,AJM
2015-06-05,12.755998208934189,AJM
2015-06-06,7.304032941732164,AJM
2015-06-07,5.5,AJM
2015-06-08,12.375,AJM
2015-06-09,16.541666666666668,AJM
2015-06-10,19.42010313958802,AJM
2015-06-11,18.308307187709023,AJM
2015-06-12,14.203578886152307,AJM
2015-06-13,7.286366144128351,AJM
2015-06-14,4.570700291180764,AJM
2015-06-15,7.366674656829278,AJM
2015-06-16,8.208333333333334,AJM
2015-06-17,9.0,AJM
2015-06-18,9.045389136191968,AJM
2015-06-19,9.795555781561943,AJM
2015-06-20,5.923547408723144,AJM
2015-06-21,6.875,AJM
2015-06-22,15.375,AJM
2015-06-23,26.083333333333332,AJM
2015-06-24,28.22356602625761,AJM
2015-06-25,12.791666666666666,AJM
2015-06-26,9.645798787266223,AJM
2015-06-27,7.208333333333333,AJM
2015-06-28,5.0,AJM
2015-06-29,10.0,AJM
2015-06-30,7.583333333333333,AJM
2015-07-01,5.458333333333333,AJM
2015-07-02,5.125,AJM
2015-07-03,7.833333333333333,AJM
2015-07-04,6.916666666666667,AJM
2015-07-05,4.075176746237687,AJM
2015-07-06,6.291666666666667,AJM
2015-07-07,10.666666666666666,AJM
2015-07-08,12.208333333333334,AJM
2015-07-09,8.625,AJM
2015-07-10,12.958333333333334,AJM
2015-07-11,21.708333333333332,AJM
2015-07-12,13.083333333333334,AJM
2015-07-13,24.375,AJM
2015-07-14,22.61576008338838,AJM
2015-07-15,12.858211367665467,AJM
2015-07-16,15.472061237604349,AJM
2015-07-17,8.78541959569488,AJM
2015-07-18,8.223176731277539,AJM
2015-07-19,4.375,AJM
2015-07-20,7.0,AJM
2015-07-21,8.666666666666666,AJM
2015-07-22,5.125,AJM
2015-07-23,9.333333333333334,AJM
2015-07-24,8.083333333333334,AJM
2015-07-25,8.166666666666666,AJM
2015-07-26,8.833333333333334,AJM
2015-07-27,10.833333333333334,AJM
2015-07-28,12.791666666666666,AJM
2015-07-29,15.291666666666666,AJM
2015-07-30,14.568724065925556,AJM
2015-07-31,20.958333333333332,AJM
2015-08-01,13.625,AJM
2015-08-02,9.583333333333334,AJM
2015-08-03,13.708333333333334,AJM
2015-08-04,13.541666666666666,AJM
2015-08-05,6.5,AJM
2015-08-06,11.125,AJM
2015-08-07,7.875,AJM
2015-08-08,7.791666666666667,AJM
2015-08-09,5.375,AJM
2015-08-10,11.291666666666666,AJM
2015-08-11,11.291666666666666,AJM
2015-08-12,8.791666666666666,AJM
2015-08-13,6.791666666666667,AJM
2015-08-14,10.666666666666666,AJM
2015-08-15,9.208333333333334,AJM
2015-08-16,6.791666666666667,AJM
2015-08-17,4.208333333333333,AJM
2015-08-18,5.791666666666667,AJM
2015-08-19,7.541666666666667,AJM
2015-08-20,10.083333333333334,AJM
2015-08-21,7.416666666666667,AJM
2015-08-22,6.083333333333333,AJM
2015-08-23,5.0,AJM
2015-08-24,9.458333333333334,AJM
2015-08-25,8.78651890756876,AJM
2015-08-26,7.416666666666667,AJM
2015-08-27,9.5,AJM
2015-08-28,10.289758792040752,AJM
2015-08-29,9.333333333333334,AJM
2015-08-30,3.5839827609627117,AJM
2015-08-31,5.666666666666667,AJM
2015-09-01,7.5,AJM
2015-09-02,3.7916666666666665,AJM
2015-09-03,5.25,AJM
2015-09-04,4.375,AJM
2015-09-05,5.541666666666667,AJM
2015-09-06,6.458333333333333,AJM
2015-09-07,11.12104159576441,AJM
2015-09-08,12.375,AJM
2015-09-09,10.0,AJM
2015-09-10,7.125,AJM
2015-09-11,7.083333333333333,AJM
2015-09-12,10.25,AJM
2015-09-13,5.068245895245089,AJM
2015-09-14,4.622926648572231,AJM
2015-09-15,6.208333333333333,AJM
2015-09-16,3.835693673808033,AJM
2015-09-17,4.291666666666667,AJM
2015-09-18,6.625,AJM
2015-09-19,9.156559635328438,AJM
2015-09-20,5.833333333333333,AJM
2015-09-21,10.166666666666666,AJM
2015-09-22,11.458333333333334,AJM
2015-09-23,12.917190458677823,AJM
2015-09-24,14.083333333333334,AJM
2015-09-25,10.041666666666666,AJM
2015-09-26,4.083333333333333,AJM
2015-09-27,2.8333333333333335,AJM
2015-09-28,4.0,AJM
2015-09-29,4.208333333333333,AJM
2015-09-30,8.625,AJM
2015-10-01,11.5,AJM
2015-10-02,13.125,AJM
2015-10-03,13.048127864324123,AJM
2015-10-04,13.737988482571993,AJM
2015-10-05,15.722327047466154,AJM
2015-10-06,13.833333333333334,AJM
2015-10-07,16.25,AJM
2015-10-08,15.948434735493484,AJM
2015-10-09,16.493492956669762,AJM
2015-10-10,11.916666666666666,AJM
2015-10-11,12.333333333333334,AJM
2015-10-12,14.916666666666666,AJM
2015-10-13,13.824679829656228,AJM
2015-10-14,12.166666666666666,AJM
2015-10-15,12.791666666666666,AJM
2015-10-16,11.458333333333334,AJM
2015-10-17,5.670170622919168,AJM
2015-10-18,2.671674336662998,AJM
2015-10-19,8.916666666666666,AJM
2015-10-20,15.375,AJM
2015-10-21,14.208333333333334,AJM
2015-10-22,11.051007656400055,AJM
2015-10-23,4.666666666666667,AJM
2015-10-24,6.548747688090767,AJM
2015-10-25,10.291666666666666,AJM
2015-10-26,15.875,AJM
2015-10-27,11.708333333333334,AJM
2015-10-28,7.75,AJM
2015-10-29,6.541666666666667,AJM
2015-10-30,4.416666666666667,AJM
2015-10-31,5.291666666666667,AJM
2015-11-01,8.416666666666666,AJM
2015-11-02,5.95832908189844,AJM
2015-11-03,7.541666666666667,AJM
2015-11-04,10.708333333333334,AJM
2015-11-05,13.125,AJM
2015-11-06,15.375,AJM
2015-11-07,14.458333333333334,AJM
2015-11-08,5.5,AJM
2015-11-09,11.32948278799624,AJM
2015-11-10,12.0,AJM
2015-11-11,14.798547408723145,AJM
2015-11-12,18.875,AJM
2015-11-13,11.083333333333334,AJM
2015-11-14,10.0,AJM
2015-11-15,6.0,AJM
2015-11-16,9.375,AJM
2015-11-17,12.25,AJM
2015-11-18,12.041666666666666,AJM
2015-11-19,21.916666666666668,AJM
2015-11-20,15.0,AJM
2015-11-21,19.330316283221688,AJM
2015-11-22,7.083333333333333,AJM
2015-11-23,25.791666666666668,AJM
2015-11-24,19.083333333333332,AJM
2015-11-25,14.416666666666666,AJM
2015-11-26,13.416666666666666,AJM
2015-11-27,16.58533692032263,AJM
2015-11-28,15.269691753314753,AJM
2015-11-29,9.972065374069004,AJM
2015-11-30,18.46348114962923,AJM
2015-12-01,23.632910662602157,AJM
2015-12-02,26.24620918975438,AJM
2015-12-03,11.793497655258603,AJM
2015-12-04,13.910159623336428,AJM
2015-12-05,14.666666666666666,AJM
2015-12-06,18.375,AJM
2015-12-07,17.083333333333332,AJM
2015-12-08,15.436044797751526,AJM
2015-12-09,18.40879754569698,AJM
2015-12-10,27.208333333333332,AJM
2015-12-11,21.291666666666668,AJM
2015-12-12,13.166666666666666,AJM
2015-12-13,9.245040279177175,AJM
2015-12-14,10.541666666666666,AJM
2015-12-15,9.64170403884714,AJM
2015-12-16,10.525451026700503,AJM
2015-12-17,18.708333333333332,AJM
2015-12-18,27.708333333333332,AJM
2015-12-19,29.492017372043776,AJM
2015-12-20,22.666666666666668,AJM
2015-12-21,19.375,AJM
2015-12-22,20.791666666666668,AJM
2015-12-23,12.583333333333334,AJM
2015-12-24,16.208333333333332,AJM
2015-12-25,11.083333333333334,AJM
2015-12-26,14.083333333333334,AJM
2015-12-27,9.771644811995959,AJM
2015-12-28,13.708333333333334,AJM
2015-12-29,14.132870762467633,AJM
2015-12-30,18.041666666666668,AJM
2015-12-31,23.208333333333332,AJM
2016-01-01,23.25,AJM
2016-01-02,10.879910514310758,AJM
2016-01-03,17.579406651120834,AJM
2016-01-04,17.458333333333332,AJM
2016-01-05,8.208333333333334,AJM
2016-01-06,9.041666666666666,AJM
2016-01-07,8.583333333333334,AJM
2016-01-08,12.708333333333334,AJM
2016-01-09,10.439177032258735,AJM
2016-01-10,8.356931653147752,AJM
2016-01-11,11.722712987177808,AJM
2016-01-12,17.08903155633497,AJM
2016-01-13,6.875,AJM
2016-01-14,3.375,AJM
2016-01-15,6.708333333333333,AJM
2016-01-16,7.708333333333333,AJM
2016-01-17,8.5,AJM
2016-01-18,19.708333333333332,AJM
2016-01-19,18.125,AJM
2016-01-20,18.916666666666668,AJM
2016-01-21,15.147583255382669,AJM
2016-01-22,19.666666666666668,AJM
2016-01-23,18.833333333333332,AJM
2016-01-24,18.708333333333332,AJM
2016-01-25,25.958333333333332,AJM
2016-01-26,17.333333333333332,AJM
2016-01-27,13.0,AJM
2016-01-28,23.541666666666668,AJM
2016-01-29,37.125,AJM
2016-01-30,25.933554773109876,AJM
2016-01-31,18.33600581998419,AJM
2016-02-01,16.75,AJM
2016-02-02,11.791666666666666,AJM
2016-02-03,16.0,AJM
2016-02-04,33.791666666666664,AJM
2016-02-05,30.625,AJM
2016-02-06,29.5,AJM
2016-02-07,16.625,AJM
2016-02-08,44.875,AJM
2016-02-09,27.208333333333332,AJM
2016-02-10,27.583333333333332,AJM
2016-02-11,24.625,AJM
2016-02-12,22.833333333333332,AJM
2016-02-13,23.458333333333332,AJM
2016-02-14,24.916666666666668,AJM
2016-02-15,25.125,AJM
2016-02-16,28.625,AJM
2016-02-17,25.166666666666668,AJM
2016-02-18,27.0,AJM
2016-02-19,32.583333333333336,AJM
2016-02-20,26.791666666666668,AJM
2016-02-21,23.916666666666668,AJM
2016-02-22,30.5,AJM
2016-02-23,23.416666666666668,AJM
2016-02-24,33.25,AJM
2016-02-25,37.24594409016736,AJM
2016-02-26,29.666666666666668,AJM
2016-02-27,23.291666666666668,AJM
2016-02-28,8.083333333333334,AJM
2016-02-29,12.625,AJM
2016-03-01,15.291666666666666,AJM
2016-03-02,8.5,AJM
2016-03-03,10.916666666666666,AJM
2016-03-04,11.27238233964018,AJM
2016-03-05,12.083333333333334,AJM
2016-03-06,8.82503758318353,AJM
2016-03-07,10.567112088473218,AJM
2016-03-08,12.386887437133305,AJM
2016-03-09,4.7168098818345765,AJM
2016-03-10,7.140426185107799,AJM
2016-03-11,4.684057503254315,AJM
2016-03-12,8.333333333333334,AJM
2016-03-13,14.333333333333334,AJM
2016-03-14,16.666666666666668,AJM
2016-03-15,14.384699890281192,AJM
2016-03-16,17.833333333333332,AJM
2016-03-17,16.208333333333332,AJM
2016-03-18,13.458333333333334,AJM
2016-03-19,8.253181109728134,AJM
2016-03-20,19.625,AJM
2016-03-21,19.458333333333332,AJM
2016-03-22,18.519670629437908,AJM
2016-03-23,14.959799103184919,AJM
2016-03-24,10.341043293615998,AJM
2016-03-25,9.42288222454908,AJM
2016-03-26,8.333333333333334,AJM
2016-03-27,10.412994295992805,AJM
2016-03-28,15.041666666666666,AJM
2016-03-29,14.291666666666666,AJM
2016-03-30,14.375,AJM
